,day,value
0,0,-13296.355882352944
1,1,25050.506363636363
2,2,3501.012258064517
3,3,-3090.134318181815
4,4,-21001.24827586207
5,5,-454.732941176468
6,6,-43935.853809523804
7,7,11565.943720930232
8,8,11574.914615384616
9,9,8368.115
10,10,5239.945666666666
11,11,-19242.685142857143
12,12,3365.6391999999996
13,13,21339.643000000004
14,14,-36770.642692307694
15,15,-62538.385833333334
16,16,19293.73107142857
17,17,10050.8659375
18,18,-16874.814716981135
19,19,9138.29553571428
20,20,16454.262765957446
21,21,-11026.008999999995
22,22,16043.443333333335
23,23,9737.688421052631
24,24,13192.144222222221
25,25,25664.50892857143
26,26,-35758.82784313726
27,27,6457.457199999995
28,28,-5787.784200000004
29,29,6316.571764705881
30,30,6700.689545454546
31,31,-7351.3313888889
32,32,29679.859210526312
33,33,-27101.985263157898
34,34,6623.802285714286
35,35,-11419.277857142859
36,36,11660.968709677418
37,37,17302.815
38,38,-4303.811999999999
39,39,8974.149701492533
40,40,-4546.645454545455
41,41,-609.5060000000016
42,42,-26192.574999999993
43,43,-36765.220624999994
44,44,23166.981200000002
45,45,-7572.321923076921
46,46,24012.16516129033
47,47,4357.040399999986
48,48,5598.248529411765
49,49,-57458.40775
50,50,3089.3734482758637
51,51,20359.689117647056
52,52,1958.039850746271
53,53,25752.151636363636
54,54,-11993.76213333334
55,55,11460.476753246756
56,56,-22597.23194805195
57,57,4049.092173913044
58,58,17850.089117647058
59,59,-2461.7206122448933
60,60,-17034.108965517244
61,61,43077.94541666666
62,62,-5749.852368421056
63,63,-25735.49916666666
64,64,11841.499259259259
65,65,22628.724374999998
66,66,8357.746785714287
67,67,-15436.386716417903
68,68,17514.502916666665
69,69,2143.290882352943
70,70,-20715.127659574468
71,71,24580.54103448276
72,72,3651.2521621621604
73,73,13221.240192307696
74,74,-16981.946309523813
75,75,1072.4614285714283
76,76,9092.242424242424
77,77,-16103.621578947388
78,78,12402.024927536235
79,79,-1068.7896610169537
80,80,-535.6476271186434
81,81,1534.4694680850964
82,82,-671.7386301369907
83,83,16204.370588235292
84,84,22239.57721311475
85,85,-81129.88312500004
86,86,11931.728947368418
87,87,2171.9155319148945
88,88,44303.06516666665
89,89,-41592.82640625004
90,90,52973.42888888886
91,91,-3240.974999999999
92,92,-64901.95473684209
93,93,15850.510000000002
94,94,33765.26804878049
95,95,15250.158200000003
96,96,4462.2363636363625
97,97,-65024.638461538445
98,98,31026.75146067416
99,99,-26362.582388059705
100,100,8244.883773584905
101,101,-3386.82967741935
102,102,-59672.752647058835
103,103,9718.44177777778
104,104,21389.733396226413
105,105,-12396.988679245287
106,106,17794.952499999996
107,107,-33084.8092857143
108,108,25988.529375
109,109,-30284.53466666666
110,110,-48811.72703703704
111,111,20566.531249999996
112,112,-19271.30833333333
113,113,14657.654800000002
114,114,19438.132553191488
115,115,27301.641186440673
116,116,48656.16142857143
117,117,-74080.35250000001
118,118,12548.151590909092
119,119,19130.496976744187
120,120,-88847.97250000002
121,121,31062.82227272727
122,122,26226.615588235298
123,123,-69000.50714285715
124,124,38477.40416666667
125,125,17710.247307692305
126,126,-13589.804333333333
127,127,30555.302499999998
128,128,16241.803999999996
129,129,9899.06048780488
130,130,38980.182692307695
131,131,-57003.66774193549
132,132,5469.4400000000005
133,133,11279.183333333332
134,134,-47424.366956521735
135,135,35813.731999999996
136,136,24260.36095238095
137,137,6910.263421052632
138,138,-20365.300476190474
139,139,-7868.615555555555
140,140,-198829.8
141,141,10121.22
142,142,24036.69
143,143,21887.63741935484
144,144,6499.143333333338
145,145,6252.593684210526
146,146,-12121.62476190476
147,147,8171.154999999999
148,148,-73583.90071428572
149,149,14223.783333333333
150,150,7180.943333333334
151,151,3407.3728571428574
152,152,-27591.715714285714
153,154,14540.057999999999
154,158,-7196.34999999999
155,159,21638.1492
156,160,-41821.19666666667
157,161,-167.71583333333547
158,162,26278.713333333337
159,163,-119395.57600000003
160,164,27647.59777777778
161,165,-14533.256666666664
162,166,14587.2225
163,167,17605.734285714283
164,168,71542.44428571429
165,169,28205.708333333332
166,170,-263564.2457142857
167,171,24191.321249999997
168,172,-28339.621666666673
169,173,17746.295714285712
170,174,15590.4652
171,175,14172.50913043478
172,176,-50141.67500000001
173,177,17222.612068965514
174,178,23005.42347826087
175,179,8735.91125
176,180,-53531.49684210523
177,181,15897.489333333333
178,182,6341.805882352942
179,183,-16604.13888888889
180,184,11173.655625000001
181,185,24522.832857142854
182,186,550.6233333333339
183,187,76433.39318181817
184,188,20414.700869565222
185,189,43945.643
186,190,-213004.5226666667
187,191,7368.14875
188,192,17699.635238095238
189,193,30161.98370370371
190,194,-84669.58416666667
191,195,23575.071818181823
192,196,66077.33217391303
193,197,-19224.477142857148
194,198,5208.528333333333
195,199,-7161.5165384615375
196,200,26463.836666666666
197,201,-189606.38749999998
198,202,6067.293913043476
199,203,-8456.406521739129
200,204,21112.358965517244
201,205,14503.617999999999
202,206,16538.171632653066
203,207,3090.4363829787203
204,208,8846.705
205,209,15810.092888888892
206,210,-73657.64545454545
207,211,17361.745
208,212,-13709.021315789467
209,213,13702.235
210,214,16234.132826086956
211,215,21125.861153846156
212,216,-5520.909999999998
213,217,-141677.30800000002
214,218,-11309.086
215,219,-636.3433333333338
216,220,16780.98578947369
217,221,11446.782631578944
218,222,-4955.037179487182
219,223,16966.3709375
220,224,-26164.476
221,225,20924.585454545468
222,226,26341.844411764705
223,227,13868.55795918367
224,228,-5013.785616438354
225,229,19482.698032786888
226,230,26025.494736842113
227,231,-5593.56862068966
228,232,-1788.0849999999996
229,233,24688.92482758621
230,234,-22994.257272727264
231,235,-34559.29228571429
232,236,17969.465526315787
233,237,-899.9735087719309
234,238,-16148.873548387102
235,239,15112.300204081634
236,240,16871.105714285717
237,241,19289.220769230767
238,242,-35301.57135135135
239,243,-70278.94611111112
240,244,19871.38851851852
241,245,-8386.703500000003
242,246,11050.841944444446
243,247,9701.554285714286
244,248,-14229.448999999999
245,249,28328.28430232559
246,250,-18086.039206349207
247,251,-3555.9629166666596
248,252,-12017.208285714287
249,253,20316.357073170733
250,254,18637.55805555555
251,255,-29534.677941176487
252,256,-44840.79735294117
253,257,-4028.78093023256
254,258,-6113.6867948717945
255,259,10489.259636363637
256,260,628.5305882352941
257,261,3226.221428571429
258,262,-23409.920140845068
259,263,12263.68094594595
260,264,19837.79214285715
261,265,14949.083260869562
262,266,192.03682926829123
263,267,-15110.698596491231
264,268,6935.082600000002
265,269,-1922.7584057971055
266,270,15229.854393939393
267,271,-46132.33484848485
268,272,13263.32744680851
269,273,31567.844482758617
270,274,-51028.324583333306
271,275,20790.292469135813
272,276,13155.776202531644
273,277,-26250.07563636364
274,278,-10155.381315789477
275,279,22324.636901408445
276,280,29690.04289855073
277,281,-54246.902826086945
278,282,3868.8479411764692
279,283,11325.494999999997
280,284,-18127.917419354846
281,285,-9008.257611940298
282,286,-344.0791111111106
283,287,14997.860694444438
284,288,-20478.03901408451
285,289,15717.419090909088
286,290,13625.203111111112
287,291,-4406.698507462689
288,292,-34029.18463414634
289,293,3927.051973684212
290,294,22661.484268292683
291,295,-12103.283846153858
292,296,-3733.404081632654
293,297,8799.294126984129
294,298,17165.02245614035
295,299,-70280.5018918919
296,300,22532.808620689655
297,301,26168.548918918914
298,302,-15954.85294117647
299,303,8298.761764705883
300,304,8121.997236842108
301,305,31932.283124999998
302,306,-45620.68000000001
303,307,-20883.005
304,308,2810.8178378378357
305,309,1302.0848648648641
306,310,10083.084545454543
307,311,8690.245955056178
308,312,13176.935744680854
309,313,-46449.63978260872
310,314,-767.6364102564103
311,315,-4779.158541666665
312,316,22580.50382352942
313,317,10998.694313725491
314,318,19218.083384615384
315,319,-58522.98370370372
