,day,value
0,0,-46131.10999999999
1,1,-4533.756666666667
2,3,-6460.3775
3,4,-1367.7625
4,5,-1929.2399999999998
5,6,-2143.725
6,7,-6862.955
7,8,-1614.81
8,9,-1763.045
9,10,-1287.6599999999999
10,11,-4556.4025
11,12,-3340.8
12,13,-1327.7859999999998
13,14,-12704.025
14,15,-3099.36
15,16,-2403.133333333333
16,17,-1392.4675000000002
17,18,-6437.92
18,19,-1646.26
19,20,-1437.39
20,21,-3425.0240000000003
21,22,-1582.922
22,23,-792.06
23,24,-3933.7200000000003
24,25,-832.4833333333335
25,26,-49154.113333333335
26,27,-4452.455000000001
27,28,-2043.7833333333335
28,29,-1840.1533333333334
29,30,-1480.8066666666666
30,31,-1190.3366666666668
31,32,-1384.9833333333333
32,33,-2616.49
33,34,-1370.005
34,35,-1325.09
35,36,-6153.805
36,37,-1801.73
37,38,-2073.8799999999997
38,39,-3538.443333333333
39,40,-1381.24
40,41,-1684.44
41,42,-1137.9333333333334
42,43,-3294.0099999999998
43,44,-1534.71
44,45,-695.675
45,46,-1302.6333333333332
46,47,-1317.6066666666668
47,48,-1751.815
48,49,-1691.9266666666665
49,50,-1998.8666666666668
50,51,-1729.36
51,52,-2004.4812500000003
52,53,-1800.665
53,54,-3020.7599999999998
54,55,-46677.62
55,56,-2229.0725
56,57,-4547.9800000000005
57,58,-3749.933333333334
58,59,-1705.3999999999999
59,60,-2099.935
60,61,-2290.835
61,62,-2194.8224999999998
62,63,-4896.1
63,64,-3361.3866666666668
64,65,-2867.283333333333
65,66,-2238.4266666666667
66,67,-2126.133333333333
67,68,-2364.9466666666667
68,69,-1774.27
69,70,-1774.27
70,71,-2009.5349999999999
71,72,-4312.155
72,73,-1325.09
73,74,-2762.475
74,75,-2358.21
75,76,-46475.48333333334
76,77,-13486.725
77,78,-1774.27
78,79,-1819.195
79,80,-2594.0299999999997
80,81,-2203.245
81,82,-3526.085
82,83,-5457.58
83,84,-4873.0775
84,85,-10286.295000000002
85,86,-17091.42
86,87,-2358.21
87,88,-2863.54
88,89,-3084.3933333333334
89,90,-1785.5
90,91,-761.37
91,92,-5873.070000000001
92,93,-2567.0833333333335
93,94,-2807.395
94,95,-4080.0800000000004
95,96,-1370.01
96,97,-21024.916000000005
97,98,-7900.756666666667
98,99,-4559.21
99,100,-2792.4233333333336
100,101,-1432.89
101,102,-2176.29
102,103,-3106.105
103,104,-669.28
104,105,-1774.27
105,106,-3705.76
106,107,-3496.1433333333334
107,108,-1841.65
108,109,-3638.38
109,110,-2605.26
110,111,-2222.335
111,112,-3020.76
112,113,-23572.49142857143
113,114,-3234.115
114,115,-2966.0125
115,116,-2293.8266666666664
116,117,-3846.13
117,118,-2695.1
118,119,-2680.1266666666666
119,120,-5266.67
120,121,-2769.2149999999997
121,122,-1338.57
122,123,-3031.99
123,126,-3818.06
124,127,-4750.110000000001
125,128,-4390.7699999999995
126,129,-2282.75
127,130,-2167.305
128,131,-1956.1920000000002
129,132,-1407.4433333333334
130,133,-2731.0333333333333
131,134,-2245.915
132,135,-7943.807500000001
133,136,-2186.0266666666666
134,137,-2335.75
135,138,-4587.28
136,139,-2829.855
137,140,-2794.9849999999997
138,141,-46702.695
139,142,-1871.5966666666666
140,143,-2060.625
141,144,-3106.85
142,145,-1399.9533333333331
143,146,-1973.5975
144,147,-3136.7966666666666
145,148,-2792.2349999999997
146,149,-2448.33
147,150,-1706.8975
148,151,-5592.326666666667
149,152,-4222.32
150,153,-2139.235
151,154,-2575.316666666667
152,155,-2672.6400000000003
153,156,-3191.443333333333
154,157,-3290.2650000000003
155,158,-3719.236666666666
156,159,-2701.7599999999998
157,160,-8017.92
158,161,-40179.433333333334
159,162,-2784.935
160,163,-2156.08
161,164,-2305.8066666666664
162,165,-3279.04
163,166,-4020.1925
164,167,-2902.257500000001
165,168,-3335.1850000000004
166,169,-3458.71
167,170,-8826.45
168,171,-4289.695
169,172,-2626.9733333333334
170,173,-2897.23
171,175,-3084.3933333333334
172,176,-3104.98
173,177,-2919.69
174,178,-5421.9980000000005
175,179,-13716.93
176,180,-1727.8566666666666
177,181,-3413.79
178,182,-3705.76
179,183,-2041.536
180,184,-4905.076666666667
181,185,-3997.7299999999996
182,186,-1401.4499999999998
183,187,-2565.5833333333335
184,188,-3494.646666666667
185,189,-2004.1033333333332
186,190,-4267.24
187,191,-2659.165
188,192,-3705.76
189,193,-3243.105
190,194,-2543.873333333333
191,195,-3809.0733333333337
192,196,-2788.5280000000002
193,197,-2275.11
194,198,-1930.3649999999998
195,199,-2537.133333333333
196,200,-1290.275
197,201,-4941.01
198,202,-5284.639999999999
199,203,-5008.39
200,204,-7258.799999999999
201,205,-3591.22
202,206,-4491.83
203,207,-14763.302000000001
204,208,-6108.89
205,209,-1546.6866666666665
206,210,-2503.45
207,211,-1808.71
208,212,-2391.153333333333
209,213,-3178.7233333333334
210,214,-2844.455
211,215,-2355.518
212,216,-2051.535
213,217,-2014.5133333333333
214,218,-4087.57
215,219,-2184.334
216,220,-2504.195
217,221,-1554.9233333333332
218,222,-2313.855
219,223,-3094.8700000000003
220,224,-1563.16
221,225,-1378.245
222,226,-2051.535
223,227,-3231.4233333333336
224,228,-1776.0259999999998
225,229,-5487.52
226,230,-1745.8266666666666
227,231,-1984.9399999999998
228,232,-1970.7925
229,233,-3002.0399999999995
230,234,-4327.77
231,235,-2366.4466666666667
232,236,-38474.03666666667
233,237,-2681.6225
234,238,-1636.5233333333333
235,239,-2071.24
236,240,-3972.2033333333334
237,241,-8387.8775
238,242,-4117.436666666667
239,243,-2887.35
240,244,-2143.615
241,245,-3514.86
242,246,-1962.1066666666666
243,247,-3016.1900000000005
244,248,-77093.30333333333
245,249,-2486.98
246,250,-1627.5400000000002
247,251,-1384.6049999999998
248,252,-2477.245
249,253,-2908.4620000000004
250,254,-2494.4666666666667
251,255,-3728.11
252,256,-2377.932
253,257,-1563.16
254,258,-1992.1275
255,259,-1101.6225
256,260,-1453.8566666666666
257,261,-2095.44
258,262,-24885.49833333334
259,263,-2293.83
260,264,-2001.86
261,265,-2872.4500000000003
262,266,-1612.5675
263,267,-1123.6333333333334
264,268,-1553.3500000000001
265,269,-2967.603333333333
266,270,-1676.1999999999998
267,271,-736.66
268,272,-2018.584
269,273,-4360.746666666667
270,274,-3858.4849999999997
271,275,-2084.21
272,276,-3046.3025000000002
273,277,-2093.192
274,278,-1783.2566666666664
275,279,-1906.0366666666666
276,280,-2898.726666666667
277,281,-2973.52
278,282,-2462.1966666666667
279,283,-1835.6599999999999
280,284,-3375.6099999999997
281,285,-2513.7425
282,286,-1758.102
283,287,-2040.415
284,288,-2437.9425
285,289,-1066.06
286,290,-1607.965
287,291,-2068.38
288,292,-2218.9075
289,293,-2160.46
290,294,-1871.298
291,295,-1337.07
292,296,-2251.9066666666663
293,297,-4187.51
294,298,-2500.2633333333333
295,299,-1180.1725
296,300,-2128.23
297,301,-2497.3483333333334
298,302,-2708.13
299,303,-3273.7233333333334
