,day,value
0,0,-12775.895
1,1,-5715.1033333333335
2,2,-42672.4
3,3,-4461.736
4,4,48770.622500000005
5,5,-5879.628
6,6,-1751.8150000000023
7,7,-3409.865
8,8,-9343.01
9,9,-13658.145
10,10,-8431.73
11,11,35640.438
12,12,-9074.996666666666
13,13,-2178.218571428571
14,14,-6645.666666666667
15,15,-3357.645
16,16,-8590.63
17,17,-7442.588333333334
18,18,-2860.998333333333
19,19,19931.9425
20,20,-9578.08
21,21,-9201.068
22,22,-17218.68666666667
23,23,-7829.262500000001
24,24,-4490.484
25,25,-9915.7175
26,26,-15721.41
27,27,40917.44
28,28,-11450.465
29,29,-12050.685
30,30,-45962.67
31,31,-2803.6499999999996
32,32,-8631.055
33,33,-3457.9599999999996
34,34,27841.271999999997
35,35,-2122.395
36,36,-17827.333333333332
37,37,-4204.674285714286
38,38,-3660.8450000000003
39,39,25619.804285714286
40,40,-1955.8166666666666
41,41,-7417.1375
42,42,-4609.7425
43,43,-40524.15
44,44,-21714.525
45,45,-4669.58
46,46,-4121.255
47,47,41378.75200000001
48,48,-4261.73875
49,49,-3359.5166666666664
50,50,-13326.815
51,51,-7020.732000000001
52,52,-7195.166666666667
53,53,18868.163000000004
54,54,-3558.6549999999997
55,55,-10360.113333333333
56,56,-2731.7833333333333
57,57,-41264.585
58,58,-33688.74
59,59,25162.6775
60,60,-7620.10285714286
61,61,-8093.1575
62,62,-7374.465000000001
63,63,-4963.47
64,64,-16483.9
65,65,-16601.06
66,66,31062.813333333335
67,67,-9813.900000000001
68,68,-2013.84
69,69,-10881.462500000001
70,70,-7236.342
71,71,-19415.94
72,72,-43059.82
73,73,23699.864285714288
74,74,-1897.8
75,75,-7609.16
76,76,-11919.449999999999
77,77,-14945.073333333334
78,78,-26277.215
79,79,-11695.906666666668
80,80,-3189.9499999999994
81,81,-20919.208333333332
82,82,13386.557999999999
83,83,-3357.645
84,84,-7473.285
85,85,-7248.32
86,86,-9702.26
87,87,-22490.449999999997
88,88,14918.268999999995
89,89,-11388.397142857142
90,90,-2402.175
91,91,-41476.075000000004
92,92,-21170.451999999997
93,93,8669.234999999999
94,94,38244.635
95,95,-10104.38
96,96,-1904.537142857143
