,customer_id,tr_datetime,mcc_code,tr_type,amount,term_id,day
2661104,90796706,0 02:44:26,6010,7070,6737.75,,0
2661105,90796706,0 03:19:15,6010,7070,21785.38,,0
2661106,90796706,0 04:49:42,6010,7070,1482.3,,0
2661107,90796706,0 07:29:45,6010,7030,5390.2,,0
2661108,90796706,0 07:59:39,6010,7030,12846.64,,0
2661109,90796706,0 11:52:01,6010,7030,3952.81,,0
2661110,90796706,0 12:21:57,6010,7070,26501.81,,0
2661111,90796706,0 13:12:41,6010,7070,4446.91,,0
2661112,90796706,0 13:26:04,6010,7070,55024.94,,0
2661113,90796706,0 14:10:18,6010,7070,28073.95,,0
2661114,90796706,0 14:20:22,6010,7030,4761.34,,0
2661115,90796706,0 14:32:47,6010,7070,25828.03,,0
2661116,90796706,0 16:16:03,6010,7070,11229.58,,0
2661117,90796706,0 17:18:03,6010,7070,6962.34,,0
2661118,90796706,1 02:33:18,6010,7070,15272.23,,1
2661119,90796706,1 02:52:19,6010,7070,6288.56,,1
2661120,90796706,1 04:30:03,6010,7070,6737.75,,1
2661121,90796706,1 05:03:52,6010,7070,13026.31,,1
2661122,90796706,1 09:48:06,6010,7030,2964.61,,1
2661123,90796706,1 11:06:08,6010,7030,23582.12,,1
2661124,90796706,1 12:25:38,6010,7070,35934.65,,1
2661125,90796706,1 12:53:43,6010,7030,2964.61,,1
2661126,90796706,1 14:30:10,6010,7070,4446.91,,1
2661127,90796706,2 03:52:37,6010,7070,15609.11,,2
2661128,90796706,2 09:01:08,6010,7070,5727.09,,2
2661129,90796706,2 09:38:11,6010,7070,21336.2,,2
2661130,90796706,2 14:22:33,6010,7070,10129.08,,2
2661131,90796706,3 08:05:32,6010,7030,42223.22,,3
2661132,90796706,3 08:11:55,4829,2370,-26950.99,,3
2661133,90796706,3 08:39:18,4829,2370,-601905.43,,3
2661134,90796706,3 08:41:17,4829,2370,-179673.26,,3
2661135,90796706,3 09:04:08,6010,7020,22009.97,,3
2661136,90796706,3 09:45:06,6010,7070,61987.28,,3
2661137,90796706,3 10:04:14,4814,1030,-11229.58,,3
2661138,90796706,3 11:34:15,6010,7070,16552.4,,3
2661139,90796706,3 12:37:38,6010,7070,22009.97,,3
2661140,90796706,3 12:57:43,6010,7070,22009.97,,3
2661141,90796706,3 13:05:02,6010,7030,3458.71,,3
2661142,90796706,3 13:55:25,6010,7070,3705.76,,3
